Title,Plot
Empire of the Sun,"Amidst Japan's invasion of China during World War II, Jamie Graham—a British upper middle class schoolboy—is enjoying a privileged and spoiled life in the Shanghai International Settlement. After the attack on Pearl Harbor, the Japanese begin to occupy the settlement, and in the ensuing chaos, Jamie is separated from his parents. Jamie's mother shouts at him over the panicked mob to wait at their house and promises that they will come back for him. He spends some time living in his deserted home, but after eating all the food he ventures out into the city.
Hungry, Jamie tries to surrender to some Japanese soldiers, who shrug and laugh him off. After being chased by a street urchin, he is taken in by Basie—an American expatriate and hustler—and his partner Frank, who nicknames him ""Jim"". They intend to leave the boy in the streets when they are unable to sell his teeth for cash, but Jamie promises to lead them back to his neighborhood where there are valuables to loot. There, Jamie finds his house lit and sees a figure in the window whom he thinks is his mother. He runs to the door only to discover the house is occupied by Japanese troops, who take the trio prisoner. They are then taken to Lunghua Civilian Assembly Center in Shanghai for processing. A truck later arrives to take selected internees to the Suzhou Creek Internment Camp; Basie is among those selected to go but Jamie is not. Because he knows of the camp's location, a desperate Jamie convinces the soldiers to take him.
It is now 1945, nearing the end of the Pacific War. Despite the terror and poor living conditions of the camp, Jim survives by establishing a successful trading network—which even involves the camp's commander, Sergeant Nagata. Dr. Rawlins, the camp's British doctor, becomes a father figure and teacher to Jim. One night after a bombing raid, Nagata orders the destruction of the prisoners' infirmary as reprisal. He only stops when Jim (now fluent in Japanese) begs forgiveness. Through the barbed wire fencing, Jim befriends a Japanese teenager, who is a trainee pilot. Jim also visits Basie in the American POW barracks, where Jim idolizes the Americans and their culture.
One morning at dawn, Jim witnesses a kamikaze ritual. Overcome with emotion, he salutes and sings the Welsh song ""Suo Gân"". The base is suddenly attacked by a group of American P-51 Mustang fighter aircraft. Jim is overjoyed and climbs the ruins of a nearby pagoda to better watch the airstrike. Dr. Rawlins chases Jim up the pagoda to save him, where the boy breaks down in tears—he cannot remember what his parents look like. As a result of the attack the Japanese decide to evacuate the camp. Basie escapes during the confusion, though he had promised to take Jim with him. The camp's prisoners march through the wilderness where many die of fatigue, starvation, and disease.
Arriving at a football stadium near Nantao—filled with luxuries confiscated by the Japanese—Jim recognizes his parents' Packard. Jim spends the night there and witnesses flashes from the atomic bombing of Nagasaki hundreds of miles away.
Jim wanders back to Suzhou Creek. Along the way he hears news of Japan's surrender and the end of the war. He encounters the Japanese teenager he befriended earlier, who has since become a pilot but is now disillusioned. The youth remembers Jim and offers him a mango, and will cut it for him with his katana. Basie reappears with a group of armed Americans who have arrived to loot the Red Cross containers being airdropped over the area. One of the Americans, thinking Jim is in danger, shoots and kills the Japanese youth. Basie offers to help Jim find his parents, but Jim—infuriated over his friend's death—chooses to stay behind.
Jim is eventually found by American soldiers and placed in an orphanage, where he is reunited with his mother and father."
Aasha,"Deepak (Jeetendra) is a truck driver who gives a lift to a famous singer Aasha (Reena Roy) when her vehicle breaks down. They become friends. He is already in love with Mala (Rameshwari), whom he marries. Aasha wishes him well calling him ""dost"" (friend), even though she has fallen in love with him. Deepak has an accident, and everyone believes that he is dead.
His grieving mother tells a pregnant Mala to go away. Mala goes home to her father, but he dies. Upset with everything in her life, she jumps from a bridge into the water. She is saved by members of a temple community, but finds that she lost her sight. She gives birth and names her daughter Deepamala, combining her and her husband's names.
Her husband turns out to be alive. He comes home and finds his mother overjoyed to see him. She tells him that Mala committed suicide. He becomes depressed. Aasha re-enters his life and helps him overcome his depression. They get engaged. They become acquainted with Deepamala, now a little girl, selling little God statues on the street. They are completely enchanted by her, even though they don't know that she is Deepak's daughter. Aasha meets Mala and tells her they'll pay for her eye operation, so she can regain her sight. Aasha also invites her and Deepamala to the wedding.
After she regains her sight from the operation, she goes to Aasha's wedding and is shocked to see Deepak. She quickly leaves, not wanting to disrupt Aasha and Deepak's lives. Mala's friend (Girish Karnad) tells Deepak that Mala is alive and that Deepamala is his daughter. Aasha cancels the wedding, calls him ""dost"" (friend), and tells him to go and reunite with his wife and daughter, which he does. Aasha goes back on stage permanently to sing her signature song ""Shisha Ho Ya Dil Ho, Aakhir Toot Jata Hai,"" which translates into ""Whether it's glass or a heart, it will inevitably break."""
Kamaraj,"The narration is divided into three phases. The pre-Independence period, depicting Kamaraj's childhood, the influence of Satyamurthy, Kamarajs growth as a politician and his prison life.
The second phase depicts his taking over as the Congress Chief Minister of the state, the reforms he tries to bring in, especially in education, his largesse and his bending the rules for a good cause-like for the urgent eye-operation of a kid. It also displayed his sense of humour (like his response when his mother in the village sends word that she needed a fan and a blanket), his refusal to take advantage of his position (asking for the newly installed tap to be removed from his village-house).
The third phase where he puts forth the Kamaraj Plan, resigns from the post of CM, involves himself in party work; his influence on national politics, his emergence as a kingmaker and finally his disillusionment with the emerging non-ethics in political life.
The closing scene (taken from the record files of the actual funeral), show swarms of humanity mourning the death of their beloved leader."
The Smurfs,"As the Smurfs get ready for the Blue Moon Festival, Papa Smurf sees in his cauldron a vision of Clumsy Smurf reaching for a dragon wand and the Smurfs in cages while Gargamel laughs. Not wanting this vision to come true, Papa Smurf disallows Clumsy to pick Smurf Roots. Clumsy disobeys Papa and ends up unintentionally leading Gargamel and Azrael to the village. The Smurfs all flee for their lives while Clumsy unknowingly runs towards the Forbidden Falls, with Papa Smurf, Smurfette, Grouchy, Brainy and Gutsy running after him. They find him at the edge of a cliff, and while trying to help him up, they are sucked into a gigantic vortex that spirits them to present day New York City. To make matters worse, Gargamel and Azrael follow them through the vortex. The Smurfs end up in the apartment of Patrick and Grace Winslow, a married and expectant couple, and their Basset Hound Elway. After introducing themselves and explaining their situation, the Winslows befriend them and allow them to stay in their apartment. The next day, needing to find a ""star gazer"" (a telescope), the Smurfs follow Patrick to his workplace at Anjelou Cosmetics, misunderstanding the previous explanation of his job as fortune-telling. He calls Grace to pick them up.
However, having extracted ""Smurf essence"" from a lock of Smurfette's hair, Gargamel also arrives at Anjelou Cosmetics and ends up being treated favorably by Patrick's boss Odile when he uses most of his acquired magic on her elderly mother by restoring her youth and attractiveness. But Gargamel resumes his search upon recognizing Patrick and following him to FAO Schwarz, but gets arrested after stealing a leaf blower and for causing chaos in the store with some customers while trying to catch the Smurfs. Gargamel manages to bust out of prison with the aid of flies (he encountered a moth and told it to bring him eagles to help him escape). By that time, Papa Smurf manages to calculate the night he and the others can get home. But first, he must figure out the spell to do so. Patrick tells them that there is an old bookstore in the city near Anjelou Cosmetics that may contain the spell Papa Smurf needs. Meanwhile Patrick bonds with the Smurfs after sending what he believed to be his finished advertisement to be published. However, the next day, Patrick learns that Clumsy accidentally attached Patrick's first attempt at the advertisement (a blue-moon themed image that Patrick was not confident enough to submit) and he loses his temper before walking out on both the Smurfs and Grace to save his job.
Forced to search on their own, the Smurfs find the store and find the book L’Histoire des Schtroumpfs by researcher Peyo, containing the spell to turn the moon blue. But learning of their location, Gargamel sneaks into the bookstore and finds a dragon wand, transferring his magic into it as he uses it to capture Papa Smurf as he sends the others to safety. Though the Smurfs promised Papa Smurf that they won't try to save him and return home, Clumsy and Patrick, having seen the error of their actions after Grace gave him a sonogram picture of their baby, convince them to plan a rescue. At Belvedere Castle, after increasing the dragon wand's power with ""Smurf essence"" extracted from bits of Papa Smurf's beard, Gargamel finds himself facing all the Smurfs, summoned to New York by Brainy after he reopened the vortex by conjuring the blue moon. As the Smurf army battles Gargamel, Smurfette defeats Azrael and saves Papa Smurf before they join the fray. Though Gargamel attempts to break the Smurfs by killing Papa, Patrick saves him while Gutsy knocks the dragon wand out of the wizard's hand, but he drops it. Clumsy tries to catch it, and to Papa Smurf's surprise, is successful, and sends Gargamel flying into a trash can and being hit by a bus with the advertisement ""Blue Moon"" on it before Papa Smurf breaks it. Soon after, the Smurfs take their leave as Patrick receives a call from Odile that he still has his job because he finally gave her what she wants after she noticed the blue moon that Brainy created. Later, Patrick and Grace have a baby boy, whom they name Blue to honor the Smurfs, who rebuild their village in the style of New York.
In the aftermath, Gargamel wakes up and learns that he is still in the present and he looks at the audience before breaking the fourth wall and asking them ""What are you looking at?"" and blasts them with his wand."
Casey's Shadow,"Down on his luck Louisiana horse trainer Lloyd Bourdelle (Walter Matthau) dreams of winning the All American Futurity at Ruidoso Downs in New Mexico. Lloyd has three sons: Buddy, Randy, and Casey. Buddy (Andrew Rubin) helps his father train horses, while Randy (Steve Burns) is a jockey. Lloyd takes Casey (Michael Hershewe) and Randy to a small bush track, to try to make some money by racing Casey's pony, Gypsy. They find a match race with Mr. Marsh (Robert Webber) and his daughter Kelly (Susan Myers) but play a trick on Marsh by tying a live chicken to Gypsy's saddle. Gypsy wins the race, but Marsh doesn't pay up, complaining that Lloyd cheated him by not having a rider on Gypsy.
Lloyd had sent Buddy to buy a racing Quarter Horse for Calvin LaBec (Harry Caesar) (the man Lloyd trains race horses for) in the hopes of racing the horse that year, but Buddy returns home with an old broodmare. Calvin is angry with Lloyd and threatens to take his horses out of Lloyd's barn, until it is revealed that the mare is in foal to a stallion called Sure Hit. Calvin is placated by this information.
The mare gives birth to a colt and then dies, leaving the family wondering how to raise him. Casey suggests letting Gypsy nurse the colt. Gypsy had just weaned her own foal, so the family gives it a try and Gypsy accepts the colt. Casey feeds and raises the young colt, who grows into a strong two-year-old. Lloyd names the horse Casey's Shadow, after his son.
A woman named Sarah Blue (Alexis Smith) goes to see the Bourdelle family, to offer Lloyd a large sum of money for the colt. They tell her they won't sell until after the All American, so Sarah agrees to pay $5,000 for an option contract, against a future negotiated purchase price, if she exercises the option. The option money gives them the money for entering the colt in the race. They take the horse to the local track to gallop him. While they are there, Casey runs into Mr. Marsh's daughter, who tells him he owes her five dollars. She goads Casey into having a match race for it, but during the race, Shadow spooks and runs onto hard asphalt, hurting his legs. The vet tells Lloyd and Buddy to rest the horse for six weeks. Calvin finds out the horse is injured but allows Lloyd to enter Shadow in the All American.
Shadow runs in one of ten qualifying races for the All American, where he gets the fastest time in his race. Mr Marsh realizes that Shadow could beat his horse in the All American, sneaks into the barn where Shadow is stabled, and puts poison in the food bucket.
But he has poisoned the wrong horse, and Gypsy slumps to the ground dead. Casey is heartbroken, and Lloyd, realizing that Marsh was responsible for the pony's death, tracks down and beats up Marsh. The next day, Shadow wins the All American but is found afterwards to be severely lame. Sarah Blue is upset because she wanted to buy the colt sound and is no longer interested in the horse. Calvin LaBec at first agrees with the vet that the horse should be destroyed, but seeing how this would affect Casey, Lloyd says he'll give up his share of the winnings to treat the horse. Reluctantly, the vet agrees to try to mend Shadow's legs. The operation is a success, and Lloyd and his sons take Shadow home."
Hysteria,"An American, Chris Smith, wakes up in an English hospital unable to remember anything of his life before a recent car accident.
Four months later he has recovered physically but has still not retrieved his memory. His amnesia is being treated by a psychiatrist, Dr. Keller, who tells him that his bills are being paid by an anonymous benefactor, who has made an apartment available to him. Dr Keller warns him that he might suffer hallucinations.
The only other link to his past is a photograph torn from a newspaper. Chris has fallen in love with his nurse, Gina.
Upon release from the hospital, Chris moves into a flat and hires a private investigator, Hemmings. Chris visits the photographer of the photo, who tells him that the subject is dead, the victim of a shower murder.
In his flat Chris hears strange voices coming from next door - a couple arguing. He keeps seeing a woman around town, from time to time, who reminds him of the woman in the photo. And he discovers a bloody knife in his shower.
Chris receives a late night visit from Denise, who claims to be the widow of the man responsible for the automobile accident which caused Chris to lose his memory. Denise bears a remarkable resemblance to the woman in the photograph.
Denise plies Chris with drugs, and after one such episode, he discovers in his shower the body of a murdered woman, which later disappears.
Assisted by Hemmings, Chris tricks Denise and Keller into admitting that they are the murderers, having planned to frame him for the crime, and that the victim is the physician's wife. Chris is reunited with Gina."
The Admiral: Roaring Currents,"The film revolves around the titular Battle of Myeongnyang circa 1597, regarded as one of legendary Joseon admiral Yi Sun-sin's most remarkable naval victories, in which he led the only 12 ships remaining in his command to a heroic victory against an invading Japanese fleet numbering 333 vessels.[7]
At the onset of the battle, at their base in Haenam, the Japanese invaders under Tōdō Takatora are confident that their planned expedition to Hansong to capture King Seonjo will meet with success, even though they remain reserved over the news that Joseon's greatest admiral, Yi Sun-sin, has been restored to his former command following the disaster at Chilcheollyang, which has reduced the Korean navy to a mere dozen battle-ready ships. In order to ensure success of the operation, Hideyoshi sends one of his finest naval war leaders to Joseon: Kurushima Michifusa, the commander of the Murakami Clan Navy, and an expert in naval combat who, however, enjoys a shaky reputation among his fellow daimyō as a pirate. One of the Admirals of the Japanese Left Army, Wakizaka, first meets Kurushima and his lieutenant Kimura while finishing off the remnants of a group of Joseon soldiers. He is especially distrusting of Kurushima, and draws his sword on him several times, especially after the latter insults him by shaming his defeat at Hansan Island. Later, Kurushima and Haru, his sharpshooter, drink sake as Kurushima elaborates on his personal vendetta against Yi Sun-sin, stating that his brother Michiyuki was killed by the latter earlier in the war.
In the meantime, Yi Sun-sin is facing the despair mounting among his officers and troops. Facing an enemy force far outnumbering them, and seeing no reasonable chance of success in the inevitable clash even with one single turtle ship remaining, many consider the fight lost before it has even started. Despite his outwardly indifferent demeanor, Yi is hard-pressed to maintain morale among his men and desperate to find a solution for his problem. But then the breaking point seems reached when General Bae Seol, the deserter of Chilcheollyang, burns the turtle ship and has his men make an attempt at Yi's life. Although Yi escapes and Bae is killed for his act of treachery, the ship is lost, boosting confidence among the Japanese and further dispiriting his own troops. In order to seek an answer, Yi travels to the Myeongnyang Strait, an area notorious for its strong and treacherous currents which the Japanese intend to cross on their way to Hansong. Later, he confides in his son Hoe that, in order to win the fight, he has to turn the fear paralyzing his men into courage. Upon hearing that the departure of the Japanese attack fleet is imminent, Yi abandons his base and moves to Usuyeong after burning the naval facilities to the ground.
The next morning, Yi's fleet arrives in the strait and is shortly met by the Japanese, who are using the morning tide to move into the channel, with Kurushima leading the avantgarde force. Yi engages Kurushima's fleet in battle, but as the other Korean commanders are still hesitant to involve themselves, Yi's flagship is quickly surrounded and attacked by boarding parties. In this apparently hopeless situation, Yi commands several cannons to be fired from the rower deck's port hatches in a concentrated volley, using their recoil to blast the ship free of its encirclement. As Yi has hoped, this bold act of survival inspires the rest of his countrymen to take the fight to the enemy.
When the tide turns and forms a whirlpool in the middle of the channel, thus beginning to solidify Yi's defensive position, Kurushima orders an all-out attack with the rest of his ships. Despite the efforts of Haru and a ship loaded with black powder charges, the renewed courage of the Koreans prevails, though heavy sacrifices are made. Kurushima's now desperate situation is observed by Todo, who merely laughs at Katō's suggestion of reinforcing him. Kurushima, realizing that he is now on his own, boards the Korean flagship, but is decapitated by Yi himself after taking several arrows from Korean archers, and his head is hung from the tip of the ship's mast. When Yi's ship itself is caught in the whirlpool, his civilian navy servants and local fishermen courageously drag the vessel back to safety. Joined by the rest of the fleet, Yi leads a counterattack which deals the Japanese forces a crushing blow, forcing them into retreat and leaving the Koreans triumphant. The film ends with the reminiscence to the first encounter of the Japanese with the turtle ship in 1592."
Kiss Them for Me,"Three decorated Navy pilots finagle a four-day leave in San Francisco. They land a posh suite at The Fairmont San Francisco Hotel where Commander Andy Crewson (Cary Grant), a master of procurement, arranges to populate it with wine, women and song.[5]
Blonde bombshell Alice Kratzner (Jayne Mansfield) is one of these women, lured to the suite under the false pretense that Crewson has a stash of nylon stockings. Once there, she is naturally attracted to Crewson, but later turns her attention to Lieutenant McCann (Ray Walston), a married man who also is in the process of running for a Congressional seat back home in Massachusetts. If he is elected, McCann can leave the Navy immediately and return to civilian life.
Lieutenant Wallace (Werner Klemperer) tries to get the three pilots, including ""Mississip'"" (Larry Blyden), to make morale-raising speeches at the plants of shipyard magnate Eddie Turnbill (Leif Erickson), so that Turnbill will vouch for the men with the Navy and also to grease a lucrative job for himself upon leaving the service. Crewson and his cohorts, however, are physically and mentally exhausted from the war and simply want to enjoy a few days away from it.
Suffering from combat stress and confronted with a number of reminders of the horrors of war, Crewson tries to amuse himself by making a play for Turnbill's attractive fiancée, Gwinneth Livingston (Suzy Parker). She resists his advances at first, but ultimately throws her engagement ring in Turnbill's face. Crewson declares his love for her shortly before he and his mates board a plane leaving San Francisco to return to duty."
Hello Brother,"Misro (Charan Raj) is a dacoit. SP Chakravarthy (Sarath Babu) arrests him. Misro wounds himself and is taken to hospital for the cure, where Chakravarthy is waiting for his wife Geeta (Sangeetha) who is on labor and she gives birth to twins and the doctor says that both children have reflection mentality, that means ""if it pains to one other also hurts"" depending on distance. Misro escapes and takes one of the twins with him, hurting Geeta. Chakravarthy goes behind him, but he could not find the child but shoots Misro. The child was taken by a lady who works as a daily labourer with her husband and they adopted him. They have a daughter and one day in an accident at construction place both were killed. The two children become orphans and they grew up, but the brother Deva (Nagarjuna) with his friend Kasi (Brahmanandam), another orphan become thieves for earning. On the other hand, Geetha goes into coma and Chakravarthy takes her to America for the cure, here another twin Ravi Varma (also Nagarjuna) is brought up. He returns India as a rock star to give performances here. He is received by Giribabu (Chakravarthy's friend) who wishes to marry his daughter Manga (Ramya Krishna) to him. But Ramya is in love with Deva. In the airport, Ravi Varma sees Ooha (Soundarya) daughter of Akkamamba (Annapoorna) who is organizing his public performances and falls in love with her. Simhachalam Srihari who is Akkamamba's brother also wishes to marry Ooha. Meanwhile, at home Manga advances with him thinking he is Deva only. One day in a restaurant they see each other and find that they are identical which leads to hilarious misunderstandings.
Meanwhile, Deva's sister Kasthuri (Aruna Sri) sees local goon Mitra (Napoleon) son of Misro killing an Inspector on the road and provides evidence in the court. Enraged Mitra teases her and Deva fights with him. So Mitra wants to take revenge against Deva, he sends his henchmen (Sivaji Raja) as the bride to Kasthuri, but Deva breaks up the plan and makes his sister marriage with another guy. The court decides death sentence to Mitra. Days pass Kasthuri becomes pregnant and she is admitted into the hospital for delivery. Deva asks Ravi to stay at the hospital as he is going in search of money, Ravi visits his father Chakravarthy. At the same time, Mitra escapes from jail come to the hospital to kidnap Kasthuri and recognizes Chakravarthy that he who killed is father Misro and also knows that Deva is his son. He blackmails Deva to get Chakravarthy to release Kasthuri. Deva who doesn't know that Chakravarthy is his father goes to his house where Geetha also comes out from the coma by Deva's touch and he comes to know the truth that they are his parents. Finally, Deva & Ravi join together, protect their father and sister from Mitra and the story ends with the duo marrying their respective ladies."
Jack and the Beanstalk,"Mr. Dinkle and Jack (Abbott and Costello) look for work at the Cosman Employment Agency. Jack makes advances to Cosman employee Polly (Dorothy Ford), but he is thwarted by the arrival of her boyfriend, a towering police officer (Buddy Baer). Polly assigns Dinkle and Jack to babysit for Eloise Larkin's brother and infant sister, while Eloise (Shaye Cogan) and her fiancé (James Alexander) are out for the evening. The babysitting duties are complicated by the fact that Donald (David Stollery) is something of a prodigy, as well as a self-proclaimed ""problem child"". The dull-witted Jack is soon outclassed by the child, and an attempt to lull the boy to sleep by reading the fairy tale Jack and the Beanstalk (Jack's ""favorite novel"") aloud fails when Jack stumbles over the larger words. Bemused by Jack's incompetence, Donald reads the story instead--a role-reversal made complete when Jack falls asleep as Donald reads. In his slumber, Jack dreams that he is the young Jack of the fairy tale.
In his dream Jack learns that the Giant (Buddy Baer), who lives in a castle in the sky, has stolen all of the land's wealth and food. The situation obliges the kingdom's princess to marry The Prince (James Alexander) of a neighboring kingdom, whom she has never met.
Jack must also make sacrifices, when his mother sends him to sell the last family possession, their beloved cow ""Henry"", to the local butcher, Mr. Dinklepuss. Along the way Jack meets The Prince, disguised as a troubador (who is kidnapped by the Giant soon afterward). The unscrupulous Dinklepuss pays Jack five ""magic"" beans for the cow. Upon returning home, Jack learns that the Giant has also kidnapped The Princess (Shaye Cogan) and Henry.
Undeterred by his mother's disappointment over bringing home only beans, Jack plants them and a gigantic beanstalk grows overnight. He decides to climb the beanstalk to rescue everyone from the Giant's clutches, as well as to retrieve ""Nellie"", the golden-egg laying hen that the Giant previously stole from Jack's family. Upon learning of Nellie's existence, Dinklepuss decides to join Jack on the adventure.
When they reach the top of the beanstalk Jack and Dinklepuss are captured by the Giant and imprisoned with the prince and princess. The princess falls for the troubador after he serenades her, only to later learn this is the same prince she was betrothed. After the Giant releases Dinklepuss and Jack from the dungeon in order to toil around his castle, they befriend his housekeeper, Polly, who helps them escape over the castle wall along with the royal prisoners, Nellie and some of the Giant's stolen gems (pilfered by the greedy Dinklepuss). They flee down the beanstalk with the Giant in pursuit, as Polly escapes the castle behind him, astride Henry. During the descent, Dinklepuss loses Nellie (who falls into the arms of Jack's mother) and then the gems, which rain down upon the impoverished townsfolk below. Once all are on the ground, Jack chops down the beanstalk, sending the Giant falling to his death. The villagers rejoice over their liberation by dancing around the hole the Giant made from his fall while amusingly singing ""He Never Looked Better in his Life"".
Just before being rewarded by the King for heroism, Jack is rudely awakened from his dream by Donald, who breaks a vase over Jack's head as Eloise and Arthur return home. Jack's angry outburst over Donald's behavior results in a second blow to the head from Dinkle, which returns Jack to his dream state. After greeting the others as their storybook counterparts, Jack walks off into the night with the bravado of ""Jack the Giant-Killer""."
